source_id,longitude,latitude,periode,saison,debut,fin,ndwi_moyen,ndvi_moyen
1,-1.1005260545286635,12.503740271015237,2020-S1,seche,2020-01-01,2020-06-30,0.24569119220254368,-0.34455690972939473
1,-1.100885379857276,12.503740271370564,2020-S1,seche,2020-01-01,2020-06-30,0.24638368508418307,-0.3429132637237672
1,-1.1010650443927588,12.504369091771991,2020-S1,seche,2020-01-01,2020-06-30,0.23958379803305282,-0.3394501203493979
1,-1.1009752122212941,12.513711569397547,2020-S1,seche,2020-01-01,2020-06-30,0.24425818986329112,-0.34670768438355726
1,-1.1016040336854052,12.513981065127128,2020-S1,seche,2020-01-01,2020-06-30,0.24718574108818012,-0.3440948099713935
1,-1.1021430211700762,12.503380946591323,2020-S1,seche,2020-01-01,2020-06-30,0.2388587597264796,-0.3402820355610055
1,-1.1021430205319593,12.514430222424926,2020-S1,seche,2020-01-01,2020-06-30,0.2359483050530681,-0.3365488233909287
1,-1.1023226867960343,12.503740270623425,2020-S1,seche,2020-01-01,2020-06-30,0.2396694214876033,-0.3384014793507294
1,-1.102622123626895,12.518532529173344,2020-S1,seche,2020-01-01,2020-06-30,0.21207946795191912,-0.3171796086790203
1,-1.1028616734371246,12.514699717816582,2020-S1,seche,2020-01-01,2020-06-30,0.23057265652224415,-0.3345388788426763
1,-1.1028616739963106,12.515059044400559,2020-S1,seche,2020-01-01,2020-06-30,0.22924916381530888,-0.32561894510226047
1,-1.1028616737511001,12.518113316760193,2020-S1,seche,2020-01-01,2020-06-30,0.21019698725376593,-0.315066657734307
1,-1.1030413374828703,12.517394663028796,2020-S1,seche,2020-01-01,2020-06-30,0.2173751796393306,-0.32343904459109246
1,-1.1032209998327969,12.515418370276732,2020-S1,seche,2020-01-01,2020-06-30,0.23294008790191997,-0.33104700423643335
1,-1.1032209996190725,12.518113314934942,2020-S1,seche,2020-01-01,2020-06-30,0.21286013823095445,-0.32009659243359273
1,-1.1034006637076832,12.515059045271926,2020-S1,seche,2020-01-01,2020-06-30,0.22520852641334568,-0.32553448971359417
1,-1.1035803261023416,12.514699717815319,2020-S1,seche,2020-01-01,2020-06-30,0.23008078107746846,-0.33266169655450334
